   16048383, 8.084, 0.014
   17336696, 8.854, 0.005
  245794704, 8.950, 0.030
   17409930, 8.999, 0.046
   18585208, 9.060, 0.030
  245873351, 9.344, 0.004
   15939295, 9.380, 0.030
   17335733, 9.390, 0.030
   15902489, 9.413, 0.005
  245940624, 9.470, 0.030
   60005364, 9.555, 0.031
  245824893, 9.530, 0.030
  436614427, 9.600, 0.030
   17383020, 9.990, 0.030
   14331880,10.120, 0.030
  242944633,10.120, 0.030
  440701014,10.057, 0.057
   18799303,10.290, 0.030
  245795626,10.260, 0.034
   59873985,10.606, 0.005
   61257910,10.690, 0.030
  436648713,10.691, 0.012
  245792696,10.669, 0.023
   17144636,10.694, 0.046
  245829484,10.906, 0.057
   15756558,11.410, 0.030
  436633864,11.103, 0.032
  436655312,11.676, 0.053
  245791900,12.131, 0.044
  293894139,12.082, 0.120
  436635454,12.422, 0.016
   17409372,12.728, 0.016
  435880145,14.465, 0.087
   67769328,14.670, 0.200
  245820477,14.714, 0.026
   26113064,16.670, 0.200
  434164859,15.482, 0.056
  427736349,11.211, 0.024
  427736055,,
   14079970,17.790, 0.200
   14108034,14.295, 0.270
  242985065,16.630, 0.200
  125757128,11.563, 0.057
   14224878,13.066, 0.046
  242987694,15.870, 0.200
   14226171,16.850, 0.200
   14229343,16.130, 0.200
  242991771,14.812, 0.080
  243030731,17.760, 0.200
   14364519,16.470, 0.200
   15816041,16.095, 0.144
   15902373,12.861, 0.043
   16004516,16.173, 0.117
  434226736,16.210, 0.200
  434228557,15.039, 0.076
  434239028,15.810, 0.200
  435881860,12.550, 0.016
  435882484,15.653, 0.080
  435882186,15.035, 0.060
   17147557, 9.446, 0.004
   17150486,15.910, 0.200
   17228250,14.014, 0.099
   17233315,15.370, 0.200
   17283750,15.538, 0.011
  435920675,15.660, 0.022
   17294045,16.270, 0.200
   17310668,14.811, 0.061
   61225027,15.328, 0.047
   17382700,16.920, 0.200
   17339381,15.241, 0.028
   17339419,10.860, 0.046
   17382436,17.240, 0.200
   17383582,16.880, 0.200
   17409889,10.882, 0.057
   17410667,14.821, 0.036
   60875521,15.560, 0.200
   17448232,16.450, 0.200
   17451153,11.395, 0.074
  267953775,16.440, 0.200
   17512898,16.410, 0.200
  245786563,16.210, 0.200
   17518225,10.100, 0.009
   17518112,14.222, 0.019
  268074162,17.860, 0.200
  245790973,11.074, 0.039
  456892137,14.314, 0.010
   17560029,13.310, 0.050
  456892725,12.540, 0.200
   18310799,11.101, 0.057
  245800181,12.834, 0.051
   18312371,18.340, 0.200
  456941121,13.290, 0.200
  245820525,17.280, 0.200
  456941299,15.130, 0.200
  268281788,16.550, 0.200
  245823882,15.610, 0.200
  245830739,15.457, 0.057
  397350435,15.076, 0.058
  268397016,17.200, 0.200
  245837275, 9.381, 0.004
   61259276,15.454, 0.056
   61259481,17.080, 0.200
  245861520,15.090, 0.047
  245863402, 9.647, 0.005
  245863716,12.375, 0.032
  118448723,11.440, 0.100
  268510484,14.610, 0.200
  118520260,16.830, 0.200
  245869850,16.770, 0.200
  118524121,15.930, 0.200
  245873780,10.709, 0.023
  118524842,13.576, 0.020
  118551425,14.727, 0.033
  118555867,14.381, 0.025
  118591735,13.338, 0.009
  125836954,17.790, 0.200
  118557720,16.130, 0.200
  118593279,14.687, 0.027
  245905701,16.470, 0.200
  245907108,10.118, 0.023
  118677684,17.230, 0.200
  118675681,14.045, 0.029
  150061097,10.623, 0.011
  118765829,13.598, 0.011
  118766826,18.450, 0.200
  118768350,18.900, 0.200
  436561375,15.005, 0.088
  397354679,14.993, 0.030
  397357734,15.040, 0.041
